actual,proposed
0.0,14.507570266723633
0.0,15.87439250946045
0.0,17.188644409179688
0.0,19.57964324951172
0.0,20.751386642456055
0.0,21.878061294555664
0.0,22.96140480041504
0.0,24.00307846069336
0.0,26.05385971069336
0.0,26.88707160949707
0.0,27.732995986938477
0.0,28.546384811401367
0.0,29.328489303588867
0.0,30.758852005004883
0.0,31.3663387298584
0.0,32.42430877685547
0.0,32.878211975097656
0.0,33.314659118652344
0.0,33.689552307128906
0.0,34.00526428222656
0.0,34.308834075927734
0.0,34.92616271972656
0.0,35.23907470703125
0.0,35.539955139160156
0.0,35.78450012207031
0.0,36.06439971923828
0.0,36.59231948852539
0.0,36.84115219116211
0.0,37.080413818359375
0.0,37.31047058105469
0.0,37.48691940307617
0.0,37.8197135925293
0.0,37.93181610107422
0.0,38.03960418701172
0.0,38.18800735473633
0.0,38.28594207763672
0.0,38.33808898925781
0.0,38.251197814941406
0.0,38.078121185302734
0.0,37.66388702392578
0.0,37.42387390136719
0.0,37.19309616088867
0.0,36.926429748535156
0.0,36.33566665649414
0.0,36.1467399597168
0.0,35.875553131103516
0.0,35.57003402709961
0.0,34.95075607299805
0.0,34.59128189086914
0.0,34.245635986328125
